project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute,3,2,0,60,28,288.44129532345625,4.338723156406011
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute_forInheritedProvider,3,2,0,58,28,278.826585479341,4.25783211052113
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute_withAlternateAcceptedType,3,2,0,64,30,314.0409981189452,4.386358925720565
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute_onCreate,3,2,0,42,28,201.90890672641936,4.459906483285186
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute_failsForAttributesNotDefinedByProvider,3,2,0,73,34,371.38478741127483,4.543865957257811
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute_failsForArgumentThatIsNotOfCorrectType,3,2,0,54,32,270.0,4.523341326903878
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testSetAttribute_failsForNullArgument,3,2,0,54,32,270.0,4.523341326903878
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testGetFileAttributeView,3,2,0,125,43,678.2830943377622,4.632648866829916
jimfs,jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,testReadAttributes_asObject,3,2,0,136,39,718.8147017652658,4.277074971694734
jimfs,jimfs/src/test/java/com/google/common/jimfs/BasicAttributeProviderTest.java,testView,32,2,0,191,36,987.4556752754817,4.014619713330004
jimfs,jimfs/src/test/java/com/google/common/jimfs/BasicAttributeProviderTest.java,testAttributes,32,2,0,57,25,264.6998028171593,3.8495290515215674
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testDefaultUnixConfiguration,33,4,1,140,40,745.0699332842307,4.093970207022339
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testFileSystemForDefaultUnixConfiguration,33,4,1,117,45,642.546812270572,4.353226164042093
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testDefaultOsXConfiguration,33,4,1,143,44,780.6987214651335,4.202222431959032
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testFileSystemForDefaultOsXConfiguration,33,4,1,127,50,716.76973610139,4.500471149826981
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testDefaultWindowsConfiguration,33,4,1,141,41,755.4148326511498,4.1292423567002485
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testFileSystemForDefaultWindowsConfiguration,33,4,1,127,50,716.76973610139,4.500471149826981
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testBuilder,33,4,1,211,64,1266.0,4.554231321819845
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testFileSystemForCustomConfiguration,33,4,1,203,76,1268.329285229048,4.789877321628311
jimfs,jimfs/src/test/java/com/google/common/jimfs/ConfigurationTest.java,testToBuilder,33,4,1,156,45,856.7290830274293,4.201189387776772
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testRootDirectory,11,3,0,67,23,303.0786510558199,3.6839996047904506
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testGet,11,3,0,57,20,246.34990140857968,3.743126743341381
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testLink,11,3,0,62,25,287.9190837660329,4.0364591514303365
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testGet_normalizingCaseInsensitive,11,3,0,96,30,471.06149717841777,4.1844243206490885
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testLinkDirectory,11,3,0,169,35,866.8488298636993,3.9240511615286304
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testUnlinkDirectory,11,3,0,146,33,736.4815414263342,3.967273145249537
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testPutAndGet,11,3,0,130,26,611.057163358342,3.7725874263807833
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testRemove,11,3,0,144,32,720.0,3.980120821470576
jimfs,jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,testManyPutsAndRemoves,11,3,0,302,52,1721.53279487861,4.7192213852978995
jimfs,jimfs/src/test/java/com/google/common/jimfs/DosAttributeProviderTest.java,testView,28,2,0,231,52,1316.8015748905923,4.162076857538631
jimfs,jimfs/src/test/java/com/google/common/jimfs/DosAttributeProviderTest.java,testInitialAttributes,28,2,0,27,20,116.69205856195879,4.102678595702847
jimfs,jimfs/src/test/java/com/google/common/jimfs/FileFactoryTest.java,testCreateFiles_basic,15,2,1,94,27,446.9594252033661,3.799395804182479
jimfs,jimfs/src/test/java/com/google/common/jimfs/FileFactoryTest.java,testCreateFiles_withSupplier,15,2,1,103,28,495.15755697193316,3.789725452028856
jimfs,jimfs/src/test/java/com/google/common/jimfs/FileTest.java,testAttributes,14,3,0,112,29,544.0938714542881,3.864898954783685
jimfs,jimfs/src/test/java/com/google/common/jimfs/HeapDiskTest.java,testAllocateFromCache_fullAllocationFromCache,18,3,1,169,42,911.3016444496105,4.563229479191834
jimfs,jimfs/src/test/java/com/google/common/jimfs/HeapDiskTest.java,testAllocateFromCache_partialAllocationFromCache,18,3,1,169,43,917.0387435446545,4.58905508852083
jimfs,jimfs/src/test/java/com/google/common/jimfs/JimfsUnixLikeFileSystemTest.java,testFileSystem,19,5,0,85,34,432.4343415062789,3.9948005884067714
jimfs,jimfs/src/test/java/com/google/common/jimfs/JimfsUnixLikeFileSystemTest.java,testFileStore,19,5,0,192,44,1048.2108707783611,4.167276064293501
jimfs,jimfs/src/test/java/com/google/common/jimfs/JimfsUnixLikeFileSystemTest.java,testPaths_areSortedCaseSensitive,19,5,0,64,29,310.91078368816466,4.370428456835347
jimfs,jimfs/src/test/java/com/google/common/jimfs/JimfsUnixLikeFileSystemTest.java,testDelete_file_whenOpenReferencesRemain,19,5,0,260,73,1609.3543853088045,5.1059183614597
