project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/io/IndentingWriterTests.java,blankLinesAreNotIndented,6,2,0,59,23,266.89015540736375,3.880915080256851
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/io/IndentingWriterTests.java,useOfPrintDoesNotAddIndent,6,2,0,68,24,311.7774500490387,3.908072191865748
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/gradle/GradleProjectGenerationConfigurationTests.java,buildDotGradleIsContributedWhenGeneratingGradleProject,3,1,0,95,53,544.1524431835039,5.103762138650861
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/configuration/ApplicationPropertiesContributorTests.java,applicationConfigurationWithDefaultSettings,10,2,0,45,27,213.9699375973561,4.25743365140446
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/documentation/HelpDocumentProjectContributorTests.java,helpDocumentWithLinksToReferenceDoc,5,3,0,47,30,230.62385799360038,4.559463321184724
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/documentation/HelpDocumentProjectContributorTests.java,helpDocumentWithLinksToOtherLinks,5,3,0,41,27,194.95038758870223,4.4546361507484775
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/maven/MavenBuildWriterTests.java,pomWithPluginWithConfiguration,7,3,0,159,47,883.1796274167443,4.54738187569123
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/maven/MavenBuildWriterTests.java,pomWithPluginWithExecution,7,3,0,219,51,1242.2611498917577,4.509067099796079
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/maven/MavenPluginTests.java,executionConfigurationCanBeOverridden,24,1,0,125,43,678.2830943377622,4.524257376230343
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/maven/MavenPluginTests.java,configurationParameterCanBeAdded,5,1,0,89,31,440.92347162443195,4.148692000416149
initializr,initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/maven/MavenPluginTests.java,configurationParameterWithSeveralLevelOfNestedValuesCanBeCustomized,5,1,0,246,50,1388.3886226845823,4.6442067802853835
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/code/kotlin/KotlinJpaMavenBuildCustomizerTests.java,customizeWhenJpaFacetPresentShouldAddKotlinJpaPlugin,25,7,0,173,53,990.9302386394336,4.440714911228771
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/scm/git/GitProjectGenerationConfigurationTests.java,gitIgnore,4,3,0,34,21,149.33879237447786,4.053308151287688
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/WarPackagingWebStarterBuildCustomizerTests.java,addWebStarterDoesNotReplaceWebFacetDependency,4,3,0,87,38,456.5696936695919,4.4614907225920835
initializr,initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/maven/MavenProjectGenerationConfigurationTests.java,buildWriterIsContributed,9,3,0,55,28,264.4045207131682,4.204937451629428
initializr,initializr-metadata/src/test/java/io/spring/initializr/metadata/support/MetadataBuildItemResolverTests.java,resoleDependencyWithMatchingEntry,8,3,0,152,49,853.4358963055116,4.585928613034995
