iter	Passed	Remaining
934	10320	11755
935	10331	11744
936	10342	11733
937	10353	11721
938	10363	11710
939	10374	11699
940	10384	11686
941	10395	11675
942	10404	11662
943	10414	11650
944	10427	11641
945	10438	11629
946	10446	11615
947	10457	11605
948	10468	11593
949	10479	11582
950	10489	11569
951	10500	11559
952	10509	11545
953	10520	11535
954	10530	11522
955	10540	11510
956	10551	11499
957	10562	11488
958	10572	11476
959	10583	11465
960	10595	11455
961	10604	11442
962	10615	11431
963	10626	11420
964	10636	11408
965	10646	11395
966	10657	11384
967	10667	11373
968	10677	11361
969	10688	11349
970	10698	11337
971	10707	11324
972	10718	11313
973	10728	11301
974	10737	11288
975	10748	11277
976	10760	11267
977	10771	11256
978	10780	11243
979	10792	11233
980	10802	11221
981	10812	11209
982	10822	11197
983	10832	11185
984	10843	11173
985	10853	11161
986	10865	11151
987	10874	11138
988	10885	11128
989	10895	11115
990	10904	11102
991	10915	11091
992	10926	11080
993	10936	11068
994	10947	11057
995	10956	11044
996	10967	11033
997	10977	11021
998	10989	11011
999	10999	10999
1000	11009	10987
1001	11020	10976
1002	11032	10966
1003	11042	10954
1004	11053	10943
1005	11063	10931
1006	11074	10920
1007	11085	10909
1008	11095	10897
1009	11105	10885
1010	11117	10875
1011	11129	10865
1012	11138	10852
1013	11148	10840
1014	11158	10828
1015	11170	10818
1016	11182	10808
1017	11192	10797
1018	11201	10783
1019	11212	10772
1020	11222	10760
1021	11232	10748
1022	11240	10735
1023	11252	10724
1024	11262	10712
1025	11272	10700
1026	11281	10688
1027	11293	10677
1028	11304	10667
1029	11316	10657
1030	11326	10645
1031	11336	10633
1032	11347	10622
1033	11358	10611
1034	11370	10601
1035	11379	10588
1036	11390	10577
1037	11400	10566
1038	11410	10554
1039	11420	10542
1040	11431	10530
1041	11440	10518
1042	11450	10506
1043	11460	10494
1044	11470	10482
1045	11481	10471
1046	11492	10460
1047	11501	10447
1048	11517	10441
1049	11526	10428
1050	11536	10417
1051	11545	10404
1052	11554	10391
1053	11569	10384
1054	11582	10375
1055	11592	10362
1056	11601	10350
1057	11613	10340
1058	11623	10328
1059	11633	10316
1060	11644	10305
1061	11652	10292
1062	11664	10281
1063	11675	10270
1064	11687	10260
1065	11697	10249
1066	11708	10238
1067	11719	10227
1068	11731	10216
1069	11742	10205
1070	11752	10194
1071	11763	10183
1072	11775	10173
1073	11785	10161
1074	11796	10150
1075	11808	10140
1076	11818	10128
1077	11829	10117
1078	11839	10105
1079	11846	10091
1080	11858	10081
1081	11871	10072
1082	11881	10060
1083	11891	10048
1084	11903	10038
1085	11914	10027
1086	11924	10015
1087	11935	10004
1088	11947	9994
1089	11958	9983
1090	11967	9971
1091	11979	9961
1092	11988	9948
1093	12001	9939
1094	12011	9927
1095	12023	9916
1096	12033	9905
1097	12043	9893
1098	12056	9884
1099	12067	9873
1100	12077	9861
1101	12089	9851
1102	12099	9839
1103	12110	9828
1104	12121	9818
1105	12132	9806
1106	12143	9796
1107	12154	9785
1108	12164	9772
1109	12175	9762
1110	12185	9750
1111	12197	9740
1112	12207	9728
1113	12220	9719
1114	12231	9708
1115	12242	9697
1116	12252	9685
1117	12264	9675
1118	12275	9664
1119	12284	9652
1120	12295	9641
1121	12304	9628
1122	12313	9615
1123	12325	9606
1124	12336	9594
1125	12347	9583
1126	12358	9573
1127	12369	9562
1128	12381	9552
1129	12393	9541
1130	12404	9530
1131	12416	9520
1132	12426	9508
1133	12436	9497
1134	12444	9484
1135	12455	9473
1136	12466	9461
1137	12476	9450
1138	12485	9437
1139	12496	9426
1140	12505	9415
1141	12516	9403
1142	12525	9391
1143	12536	9380
1144	12547	9369
1145	12558	9358
1146	12569	9347
1147	12579	9335
1148	12589	9324
1149	12598	9311
1150	12610	9301
1151	12620	9290
1152	12633	9280
1153	12644	9269
1154	12654	9258
1155	12664	9246
1156	12677	9236
1157	12687	9225
1158	12697	9213
1159	12708	9202
1160	12720	9192
1161	12732	9181
1162	12743	9171
1163	12753	9159
1164	12762	9147
1165	12774	9137
1166	12784	9125
1167	12794	9113
1168	12804	9102
1169	12815	9091
1170	12826	9080
1171	12837	9069
1172	12848	9058
1173	12859	9047
1174	12870	9036
1175	12880	9025
1176	12891	9014
1177	12900	9001
1178	12913	8992
1179	12924	8981
1180	12935	8970
1181	12943	8957
1182	12955	8947
1183	12965	8936
1184	12976	8924
1185	12986	8913
1186	12995	8901
1187	13008	8891
1188	13018	8880
1189	13029	8868
1190	13040	8857
1191	13048	8844
1192	13058	8833
1193	13069	8822
1194	13079	8811
1195	13088	8798
1196	13099	8787
1197	13110	8776
1198	13120	8765
1199	13128	8752
1200	13141	8742
1201	13152	8731
1202	13163	8720
1203	13173	8709
1204	13182	8697
1205	13193	8686
1206	13203	8674
1207	13214	8663
1208	13224	8652
1209	13234	8640
1210	13244	8629
1211	13256	8618
1212	13267	8607
1213	13278	8596
1214	13289	8586
1215	13299	8574
1216	13310	8563
1217	13319	8551
1218	13330	8540
1219	13339	8528
1220	13348	8516
1221	13359	8505
1222	13371	8494
1223	13379	8482
1224	13391	8472
1225	13402	8461
1226	13413	8450
1227	13423	8439
1228	13433	8427
1229	13444	8416
1230	13454	8405
1231	13465	8393
1232	13475	8382
1233	13486	8371
1234	13498	8361
1235	13510	8350
1236	13519	8339
1237	13531	8328
1238	13541	8317
1239	13553	8306
1240	13563	8295
1241	13575	8285
1242	13584	8272
1243	13596	8262
1244	13607	8251
1245	13615	8239
1246	13627	8228
1247	13635	8216
1248	13646	8205
1249	13655	8193
1250	13667	8183
1251	13678	8171
1252	13689	8161
1253	13698	8149
1254	13710	8138
1255	13718	8126
1256	13731	8116
1257	13741	8104
1258	13752	8094
1259	13764	8083
1260	13775	8073
1261	13786	8062
1262	13797	8051
1263	13807	8039
1264	13818	8028
1265	13828	8017
1266	13840	8007
1267	13849	7995
1268	13861	7985
1269	13873	7974
1270	13884	7963
1271	13895	7952
1272	13903	7940
1273	13915	7930
1274	13926	7918
1275	13937	7908
1276	13947	7896
1277	13959	7886
1278	13970	7875
1279	13980	7864
1280	13989	7852
1281	14001	7841
1282	14014	7832
1283	14024	7820
1284	14035	7809
1285	14044	7797
1286	14054	7786
1287	14064	7774
1288	14075	7763
1289	14085	7752
1290	14094	7740
1291	14106	7730
1292	14116	7718
1293	14127	7707
1294	14137	7696
1295	14146	7684
1296	14158	7674
1297	14168	7662
1298	14179	7651
1299	14189	7640
1300	14198	7628
1301	14211	7618
1302	14221	7607
1303	14231	7595
1304	14243	7585
1305	14253	7573
1306	14264	7563
1307	14273	7551
1308	14285	7541
1309	14295	7529
1310	14307	7519
1311	14316	7507
1312	14326	7496
1313	14335	7483
1314	14345	7472
1315	14355	7461
1316	14365	7450
1317	14376	7438
1318	14385	7427
1319	14395	7416
1320	14407	7405
1321	14416	7393
1322	14426	7382
1323	14438	7371
1324	14449	7361
1325	14461	7350
1326	14472	7339
1327	14483	7328
1328	14495	7318
1329	14504	7306
1330	14516	7296
1331	14527	7285
1332	14539	7275
1333	14550	7264
1334	14560	7253
1335	14570	7241
1336	14581	7230
1337	14592	7220
1338	14604	7209
1339	14614	7198
1340	14624	7187
1341	14637	7176
1342	14647	7165
1343	14657	7154
1344	14670	7144
1345	14680	7133
1346	14692	7122
1347	14702	7111
1348	14714	7101
1349	14724	7089
1350	14736	7079
1351	14745	7067
1352	14756	7056
1353	14767	7045
1354	14777	7034
1355	14788	7023
1356	14796	7011
1357	14807	7000
1358	14816	6988
1359	14828	6977
1360	14838	6966
1361	14847	6954
1362	14858	6944
1363	14868	6933
1364	14878	6921
1365	14889	6910
1366	14900	6899
1367	14911	6889
1368	14922	6878
1369	14931	6866
1370	14943	6855
1371	14953	6844
1372	14963	6833
1373	14974	6822
1374	14986	6811
1375	14997	6801
1376	15007	6790
1377	15017	6778
1378	15029	6768
1379	15039	6756
1380	15050	6746
1381	15060	6734
1382	15071	6723
1383	15082	6713
1384	15094	6702
1385	15104	6691
1386	15118	6681
1387	15129	6670
1388	15140	6659
1389	15150	6648
1390	15161	6637
1391	15171	6626
1392	15182	6615
1393	15192	6604
1394	15205	6594
1395	15217	6584
1396	15228	6573
1397	15239	6562
1398	15250	6551
1399	15260	6540
1400	15270	6528
1401	15282	6518
1402	15292	6507
1403	15301	6495
1404	15312	6484
1405	15323	6473
1406	15333	6462
1407	15345	6452
1408	15356	6441
1409	15368	6430
1410	15378	6419
1411	15387	6407
1412	15397	6396
1413	15409	6386
1414	15419	6374
1415	15431	6364
1416	15442	6353
1417	15452	6342
1418	15464	6331
1419	15474	6320
1420	15484	6309
1421	15496	6298
1422	15507	6288
1423	15519	6277
1424	15530	6266
1425	15540	6255
1426	15549	6243
1427	15561	6233
1428	15573	6222
1429	15583	6211
1430	15593	6200
1431	15603	6189
1432	15611	6177
1433	15622	6166
1434	15632	6154
1435	15641	6143
1436	15652	6132
1437	15664	6121
1438	15675	6111
1439	15683	6099
1440	15694	6088
1441	15704	6077
1442	15713	6065
1443	15725	6054
1444	15735	6043
1445	15744	6032
1446	15754	6020
1447	15765	6010
1448	15775	5998
1449	15787	5988
1450	15798	5977
1451	15809	5966
1452	15820	5955
1453	15830	5944
1454	15840	5933
1455	15851	5922
1456	15862	5911
1457	15872	5900
1458	15882	5889
1459	15895	5879
